('( cover ( merge_ct ( <EXP> ) ) ( identity ( connect ( RIGHT ) ( UNITY ) ) ) )', 'vsplit')
('( cover ( first_cf ( initset ( var0 ) ) ) ( <EXP> ) )', 'identity')
('( <EXP> )', 'lefthalf')
('( lefthalf ( first_ct ( vsplit ( <EXP> ) ( TWO ) ) ) )', 'var0')
('( tophalf ( underpaint ( switch ( var0 ) ( <EXP> ) ( <HOLE> ) ) ( <HOLE> ) ) )', 'SIX')
('( tophalf ( underpaint ( switch ( var0 ) ( <HOLE> ) ( <EXP> ) ) ( <HOLE> ) ) )', 'NINE')
('( tophalf ( underpaint ( switch ( var0 ) ( <HOLE> ) ( <HOLE> ) ) ( <EXP> ) ) )', 'asobject')
('( bottomhalf ( <EXP> ) )', 'last_ct')
('( cover ( fill ( <EXP> ) ( NEG_TWO ) ( <HOLE> ) ) ( initset ( LEFT ) ) )', 'tophalf')
('( cover ( fill ( <HOLE> ) ( NEG_TWO ) ( <EXP> ) ) ( initset ( LEFT ) ) )', 'ineighbors')
('( trim ( cover ( cellwise ( var0 ) ( var0 ) ( <EXP> ) ) ( ofcolor ( var0 ) ( NINE ) ) ) )', 'ZERO')
('( leastcommon_ct ( identity ( repeat ( <EXP> ) ( FIVE ) ) ) )', 'var0')
('( underpaint ( var0 ) ( <EXP> ) )', 'recolor')
('( <EXP> )', 'underfill')
('( rot180 ( repeat ( last_ct ( <EXP> ) ) ( SIX ) ) )', 'var0')
('( <EXP> )', 'rot270')
('( mostcommon_ct ( vsplit ( bottomhalf ( <HOLE> ) ) ( <EXP> ) ) )', 'TWO')
('( mostcommon_ct ( vsplit ( bottomhalf ( <EXP> ) ) ( <HOLE> ) ) )', 'var0')
('( repeat ( branch ( equality ( TEN ) ( FIVE ) ) ( <HOLE> ) ( <HOLE> ) ) ( <EXP> ) )', 'last_ct')
('( repeat ( branch ( equality ( TEN ) ( FIVE ) ) ( <EXP> ) ( <HOLE> ) ) ( <HOLE> ) )', 'interval')
('( repeat ( branch ( equality ( TEN ) ( FIVE ) ) ( <HOLE> ) ( <EXP> ) ) ( <HOLE> ) )', 'leastcommon_ct')
('( <EXP> )', 'last_cf')
('( first_cf ( initset ( righthalf ( <EXP> ) ) ) )', 'var0')
('( <EXP> )', 'hupscale')
('( <EXP> )', 'replace')
('( replace ( hupscale ( cellwise ( var0 ) ( <HOLE> ) ( NINE ) ) ( decrement_ni ( SIX ) ) ) ( <EXP> ) ( size_cf ( frontiers ( var0 ) ) ) )', 'size_ct')
('( replace ( hupscale ( cellwise ( var0 ) ( <EXP> ) ( NINE ) ) ( decrement_ni ( SIX ) ) ) ( <HOLE> ) ( size_cf ( frontiers ( var0 ) ) ) )', 'var0')
('( <EXP> )', 'remove_ct')
('( <EXP> )', 'last_cf')
('( <EXP> )', 'first_ct')
('( <EXP> )', 'mostcommon_ct')
('( <EXP> )', 'identity')
('( <EXP> )', 'last_ct')
('( replace ( cover ( tophalf ( var0 ) ) ( ineighbors ( RIGHT ) ) ) ( lbind_3 branch ( <HOLE> ) ( halve_ni ( <HOLE> ) ) ( NEG_TWO ) ) ( identity ( branch ( <EXP> ) ( <HOLE> ) ( NEG_ONE ) ) ) )', 'F')
('( replace ( cover ( tophalf ( var0 ) ) ( ineighbors ( RIGHT ) ) ) ( lbind_3 branch ( <HOLE> ) ( halve_ni ( <HOLE> ) ) ( NEG_TWO ) ) ( identity ( branch ( <HOLE> ) ( <EXP> ) ( NEG_ONE ) ) ) )', 'SEVEN')
('( replace ( cover ( tophalf ( var0 ) ) ( ineighbors ( RIGHT ) ) ) ( lbind_3 branch ( <HOLE> ) ( halve_ni ( <EXP> ) ) ( NEG_TWO ) ) ( identity ( branch ( <HOLE> ) ( <HOLE> ) ( NEG_ONE ) ) ) )', 'EIGHT')
('( replace ( cover ( tophalf ( var0 ) ) ( ineighbors ( RIGHT ) ) ) ( lbind_3 branch ( <EXP> ) ( halve_ni ( <HOLE> ) ) ( NEG_TWO ) ) ( identity ( branch ( <HOLE> ) ( <HOLE> ) ( NEG_ONE ) ) ) )', 'positive')
('( righthalf ( cover ( rot270 ( var0 ) ) ( <EXP> ) ) )', 'neighbors')
('( apply_ct ( compose ( interval ( FOUR ) ( TEN ) ) ( <EXP> ) ) ( leastcommon_ct ( <HOLE> ) ) )', 'add_ni')
('( apply_ct ( compose ( interval ( FOUR ) ( TEN ) ) ( <HOLE> ) ) ( leastcommon_ct ( <EXP> ) ) )', 'replace')
('( identity ( <EXP> ) )', 'remove_ct')
('( rot180 ( <EXP> ) )', 'hconcat')
('( tophalf ( <EXP> ) )', 'mostcommon_ct')
('( <EXP> )', 'switch')
('( remove_ct ( <EXP> ) ( <HOLE> ) )', 'dedupe_i')
('( remove_ct ( <HOLE> ) ( <EXP> ) )', 'bottomhalf')
